mode,development,rail_accident_cost,rail_airpollution_cost,rail_co2_cost,rail_land_consumption_cost,rail_noise_cost,road_accident_cost,road_airpollution_cost,road_co2_cost,road_land_consumption_cost,road_noise_cost,total_externalities_chf,noise_externality_chf,new_link_km,surface_route_km,settlement_exposed_km,road_noise_relevant_share,development_label,total_externalities_mio_chf,noise_externality_mio_chf,externality_per_new_link_km,externality_per_surface_route_km,noise_per_settlement_exposed_km
Rail,101017,149363.0017368834,679093.917847388,19973.350524923175,2290.3999999999996,252200.91763495203,,,,,,1102921.5877441466,252200.91763495203,51.17986184760638,51.17986184760638,31.678505194370658,,X17,1.1029215877441465,0.252200917634952,0.02154991334342042,0.02154991334342042,0.0079612632
Rail,101018,134859.85188399852,613153.887584249,18033.937870124973,2290.3999999999996,210915.05383973898,,,,,,979253.1311781114,210915.05383973898,46.21029644523627,46.21029644523627,26.492661847901157,,X18,0.9792531311781114,0.21091505383973896,0.021191232398576416,0.021191232398576416,0.00796126319999998
Rail,101019,198228.6136624998,901266.339830672,26507.833524431535,2290.3999999999996,305403.1132081045,,,,,,1433696.3002257077,305403.1132081045,67.92386965656432,67.92386965656432,38.3611376154608,,X19,1.4336963002257077,0.3054031132081045,0.021107400203709565,0.021107400203709565,0.007961263200000018
Rail,101020,193341.9513629133,879048.6379390806,25854.37170409061,2290.3999999999996,252262.76338322632,,,,,,1352798.1243893106,252262.76338322632,66.24943423092054,66.24943423092054,31.686273527952967,,X20,1.3527981243893106,0.25226276338322634,0.020419768713404653,0.020419768713404653,0.007961263200000008
Rail,101021,229769.78901665303,1044671.467577741,30725.63139934533,2290.3999999999996,338710.84725302237,,,,,,1646168.1352467616,338710.84725302237,78.73158628226778,78.73158628226778,42.544862384781055,,X21,1.6461681352467616,0.33871084725302236,0.02090861130810872,0.02090861130810872,0.007961263200000016
Rail,101022,235606.8986788011,1071210.474047066,31506.190413149,2290.3999999999996,363384.3909550131,,,,,,1703998.354094029,363384.3909550131,80.7316965011582,80.7316965011582,45.64406198189919,,X22,1.7039983540940289,0.3633843909550131,0.021106931080899345,0.021106931080899345,0.0079612632
Rail,101023,251715.80484785535,1144451.2369894837,33660.3304996907,2290.3999999999996,365043.6447006049,,,,,,1797161.4170376346,365043.6447006049,86.25148107070359,86.25148107070359,45.85247787067311,,X23,1.7971614170376347,0.3650436447006049,0.02083629631315471,0.02083629631315471,0.007961263200000014
Rail,101024,253608.0635438409,1153054.581569431,33913.370046159725,2290.3999999999996,337461.371238846,,,,,,1780327.7863982772,337461.371238846,86.89987148542679,86.89987148542679,42.38791794232423,,X24,1.7803277863982772,0.337461371238846,0.020487116447540896,0.020487116447540896,0.00796126320000001
Rail,101025,147220.9676865989,669354.9444841403,19686.91013188648,2290.3999999999996,251204.27778799593,,,,,,1089757.5000906214,251204.27778799593,50.445884855368774,50.445884855368774,31.553319049669938,,X25,1.0897575000906214,0.2512042777879959,0.02160250540187804,0.02160250540187804,0.00796126319999999
Rail,101026,139563.98329621498,634541.6944282661,18662.991012596067,2290.3999999999996,201711.8348198628,,,,,,996770.90355694,201711.8348198628,47.8221868932759,47.8221868932759,25.336662003570336,,X26,0.99677090355694,0.2017118348198628,0.020843273139754558,0.020843273139754558,0.0079612632
Rail,101027,114229.1897719822,519354.5062212861,15275.13253592018,2290.3999999999996,236120.92330640944,,,,,,887270.1518355979,236120.92330640944,39.1411131505828,39.1411131505828,29.65872593012737,,X27,0.887270151835598,0.23612092330640944,0.02266849561539327,0.02266849561539327,0.007961263200000021
Rail,101028,177090.4467863313,805159.536987111,23681.162852562087,2290.3999999999996,315881.0117157882,,,,,,1324102.5583417923,315881.0117157882,60.680787716234015,60.680787716234015,39.67724766539408,,X28,1.3241025583417922,0.3158810117157882,0.021820787240498418,0.021820787240498418,0.007961263200000011
Rail,101029,206529.06565989697,939005.1801142006,27617.799415123547,2290.3999999999996,387321.0258881599,,,,,,1562763.471077381,387321.0258881599,70.7680545052851,70.7680545052851,48.65069978947058,,X29,1.562763471077381,0.38732102588815986,0.022082894351160533,0.022082894351160533,0.0079612632
Rail,101030,230539.71703529256,1048172.0227926092,30828.588905664976,2290.3999999999996,362728.7865990177,,,,,,1674559.5153325843,362728.7865990177,78.99540536174786,78.99540536174786,45.56171269391243,,X30,1.6745595153325843,0.3627287865990177,0.021198188776476112,0.021198188776476112,0.007961263199999995
Rail,101031,125589.9716784495,571007.4443984615,16794.336599954753,2290.3999999999996,272173.8004875775,,,,,,987855.9531644433,272173.8004875775,43.03393293655663,43.03393293655663,34.187263208127185,,X31,0.9878559531644433,0.2721738004875775,0.022955279375017932,0.022955279375017932,0.007961263200000018
