ID_edge,flow,fftt_min,tt_min,delay_min
103,1106.4382676507637,3.4464177478683524,3.509297818997127,0.0628800711287747
34,3905.138526455859,1.9207389470721246,3.4793754197707645,1.55863647269864
116,0.0,3.4651651173838975,3.4651651173838975,0.0
138,0.0,3.3946824337020916,3.3946824337020916,0.0
168,0.0,3.3829464852116593,3.3829464852116593,0.0
164,0.0,3.2893124715663737,3.2893124715663737,0.0
13,0.0,3.2786192521060813,3.2786192521060813,0.0
121,0.0,3.214609859569547,3.214609859569547,0.0
92,3905.137750219492,1.577439211826327,3.2001443609074984,1.6227051490811715
159,0.0,3.1974573132658652,3.1974573132658652,0.0
60,3905.138526455859,1.6989459515415155,3.1538026607190965,1.454856709177581
124,1346.884429077892,1.425886557194143,2.9813926359628113,1.5555060787686683
45,0.0,2.96575387134759,2.96575387134759,0.0
131,3905.138526455859,1.583139716180676,2.93743755827888,1.3542978420982041
155,0.0,2.926172269501934,2.926172269501934,0.0
94,3905.1393215551334,1.5609236141852714,2.904474020411896,1.3435504062266248
66,3905.138526455859,1.5235852799546739,2.8349964232883083,1.3114111433336344
104,0.0,2.8291287117227086,2.8291287117227086,0.0
42,0.0,2.815586482011779,2.815586482011779,0.0
64,3905.138526455859,1.4992648827252821,2.7870912702160213,1.2878263874907392
70,0.0,2.7801673258088617,2.7801673258088617,0.0
91,1950.1910924793945,2.4052378445445464,2.7739540781029266,0.36871623355838024
126,3905.137889203332,1.0738783733730828,2.771410960585655,1.6975325872125722
19,0.0,2.7587006395169995,2.7587006395169995,0.0
29,3905.138526455859,1.4983061715178918,2.714147944163302,1.21584177264541
43,0.0,2.710642495194329,2.710642495194329,0.0
65,3905.138526455859,1.4564852575618634,2.710140712230347,1.2536554546684837
166,0.0,2.6228285570087997,2.6228285570087997,0.0
154,0.0,2.6227473808966475,2.6227473808966475,0.0
102,315.6226324131529,2.536628352465844,2.538857885673026,0.0022295332071822216
108,0.0,2.410017883762341,2.410017883762341,0.0
44,0.0,2.3925091728558594,2.3925091728558594,0.0
