development,scenario,total_mmin,top_edge,top_delta_delay,top_vcr,top_sq_vcr,n_more_delay,n_less_delay,max_delta_delay,min_delta_delay
558,scenario_100,-0.00627950287794054,178,0.32053036814144775,2.875162533769146,2.850853725237624,24,1,0.32053036814144775,-0.11813238348286648
564,scenario_100,-0.007843522751366254,178,0.47675245401367405,2.8869066741585607,2.850853725237624,31,1,0.47675245401367405,-0.09698322153260475
565,scenario_100,-0.0019648463420819024,103,2.2016681753722622e-05,0.23576121638027975,0.23568070167341842,0,3,2.2016681753722622e-05,-0.3141352509983155
569,scenario_100,0.0014144810131337727,99,3.595457820360082e-10,0.0025701360505941276,0.002560212259701431,0,3,3.595457820360082e-10,-0.07843203565783696
594,scenario_100,-0.0025100694550978953,92,0.00017595594081720733,1.314984843829274,1.3148581252480298,0,1,0.00017595594081720733,-0.5555086778080813
602,scenario_100,-0.0013088266031058737,103,1.4949299135480487e-05,0.23573537525338892,0.23568070167341842,0,3,1.4949299135480487e-05,-0.33093643728367406
612,scenario_100,-0.02871867412361922,178,1.031800697633372,2.9281019127593737,2.850853725237624,36,1,1.031800697633372,-0.09384207472522088
614,scenario_100,-0.0021714774087325203,178,0.08138761282980767,2.857053550054165,2.850853725237624,2,0,0.08138761282980767,-0.001636882766943959
625,scenario_100,-0.0027888166038021445,178,0.08474455575739981,2.857308865972792,2.850853725237624,3,5,0.08474455575739981,-0.10286256401330962
627,scenario_100,0.00026376731999823823,178,0.002632145993118229,2.851054528372028,2.850853725237624,0,2,0.002632145993118229,-0.035742277565892655
