ID_edge,length_m,flow,development,scenario,capacity,ffs,length_m_geom,fftt_min,flow_cap,link_tt_min,delay_min,run
123,1534.8660954570962,0.0,status_quo,scenario_44,2348,109,1534.8660954570962,0.8448804195176677,0.0,0.8448804195176677,0.0,15iter_status_quo
124,1877.417300305622,1090.500486441422,status_quo,scenario_44,729,79,1877.417300305622,1.425886557194143,1.4958854409347353,2.2235536096918382,0.7976670524976952,15iter_status_quo
126,1897.1851262924465,2963.926479624305,status_quo,scenario_44,1811,106,1897.1851262924465,1.0738783733730828,1.6366242294998925,1.7929846141765418,0.719106240803459,15iter_status_quo
127,1483.4622208121002,2919.1088275212824,status_quo,scenario_44,2333,119,1483.4622208121002,0.7479641449472775,1.2512253868500995,1.0407107607402142,0.2927466157929367,15iter_status_quo
128,1875.2605068342427,2863.5642285226977,status_quo,scenario_44,1934,115,1875.2605068342427,0.9783967861743876,1.4806433446342802,1.5146327577999217,0.5362359716255342,15iter_status_quo
129,3327.5142290398862,2832.03485626888,status_quo,scenario_44,729,96,3327.5142290398862,2.079696393149929,3.884821476363347,9.926306606479258,7.846610213329329,15iter_status_quo
130,225.05482885543543,2832.03485626888,status_quo,scenario_44,729,100,225.05482885543543,0.1350328973132612,3.884821476363347,0.6445065467765277,0.5094736494632665,15iter_status_quo
131,3113.508108488663,2832.03485626888,status_quo,scenario_44,2339,118,3113.508108488663,1.583139716180676,1.2107887371820778,2.1633641291169607,0.5802244129362848,15iter_status_quo
132,1886.9484527400857,2832.03485626888,status_quo,scenario_44,2343,113,1886.9484527400857,1.001919532428364,1.2087216629401965,1.3678726601301718,0.3659531277018077,15iter_status_quo
133,9519.946896653411,0.0,status_quo,scenario_44,2279,117,9519.946896653411,4.882024049565852,0.0,4.882024049565852,0.0,15iter_status_quo
134,162.64281702292567,0.0,status_quo,scenario_44,2335,118,162.64281702292567,0.0826997374692842,0.0,0.0826997374692842,0.0,15iter_status_quo
135,11699.839149833915,0.0,status_quo,scenario_44,2334,119,11699.839149833915,5.899078562941471,0.0,5.899078562941471,0.0,15iter_status_quo
136,2636.004394110598,0.0,status_quo,scenario_44,2335,118,2636.004394110598,1.3403412173443716,0.0,1.3403412173443716,0.0,15iter_status_quo
137,58.97222645443464,0.0,status_quo,scenario_44,1517,109,58.97222645443464,0.032461776029964,0.0,0.032461776029964,0.0,15iter_status_quo
138,6789.364867404183,0.0,status_quo,scenario_44,2333,120,6789.364867404183,3.394682433702092,0.0,3.394682433702092,0.0,15iter_status_quo
139,7798.900064235726,0.0,status_quo,scenario_44,2253,119,7798.900064235726,3.932218519782719,0.0,3.932218519782719,0.0,15iter_status_quo
140,2412.9461209653914,0.0,status_quo,scenario_44,729,94,2412.9461209653914,1.5401783750842923,0.0,1.5401783750842923,0.0,15iter_status_quo
