development,scenario,tts_raw,net_benefit_raw,building_costs,externalities_raw,maintenance,maintenance_annual,maintenance_derived,construction_raw,construction_integrated,maintenance_raw,maintenance_integrated,tts_integrated,operation_raw,operation_integrated,cost_base_raw,cost_base_integrated,bcr_raw,bcr_integrated,net_benefit_integrated,mode,year,status_quo_tt,development_tt,tt_savings_daily,monetized_savings_yearly,net_benefit_reported,bcr_reported,TotalConstructionCost,YearlyMaintenanceCost,uncoveredOperatingCost
144,scenario_19,-327334363.5507221,-1865107111.2644064,161237634.02609128,1262464376.336839,114070737.35075407,2281414.7470150813,114070737.35075402,161237634.02609128,4638478.74549646,2281414.7470150813,2693916.6488083913,-364599751.4837372,0.0,0.0,163519048.77310637,7332395.394304851,-2.001811813404813,-49.72450773275615,-1634396523.214881,Road,,,,,,,,,,
150,scenario_19,-822299330.8068345,-1853415580.6462696,521617136.85194135,182264836.83835977,327234276.1491341,6544685.522982683,327234276.14913416,521617136.85194135,15005863.967111586,6544685.522982683,7728028.108280548,-915914016.4975624,0.0,0.0,528161822.374924,22733892.075392134,-1.5569079323251658,-40.28848265225012,-1120912745.4113142,Road,,,,,,,,,,
152,scenario_19,3815207699.051131,-835783962.7774224,2268314320.0625086,939546000.5141373,1443131341.251907,28862626.825038143,1443131341.2519073,2268314320.0625086,65254788.84174534,28862626.825038143,34081269.54296397,4249550104.803881,0.0,0.0,2297176946.8875465,99336058.3847093,1.6608244759814301,42.77953216490831,3210668045.9050345,Road,,,,,,,,,,
176,scenario_19,423993909.6091123,-2149682826.1699667,749620226.0889233,1308078050.4087737,515978459.2813816,10319569.185627632,515978459.2813816,749620226.0889233,21565049.046459354,10319569.185627632,12185447.330024013,472263505.72308993,0.0,0.0,759939795.2745509,33750496.376483366,0.5579309206408014,13.992786963931978,-869565041.0621672,Road,,,,,,,,,,
177,scenario_19,35067349.143484145,-508129273.35496426,134517491.09974346,318473149.1517772,90205982.24692774,1804119.6449385548,90205982.24692774,134517491.09974346,3869794.586930625,1804119.6449385548,2130321.965482644,39059592.290335804,0.0,0.0,136321610.744682,6000116.552413269,0.2572398385840826,6.509805592797342,-285413673.41385466,Road,,,,,,,,,,
195,scenario_19,-829420368.9702305,-1634310191.8821344,365521611.4676312,201610492.77074566,237757718.673527,4755154.37347054,237757718.673527,365521611.4676312,10515313.22729447,4755154.37347054,5614932.379615079,-923845749.4097964,0.0,0.0,370276765.84110177,16130245.606909547,-2.2400011166948635,-57.274127866599756,-1141586487.7874515,Road,,,,,,,,,,
197,scenario_19,-72501540.92923008,-681364553.3984859,148324872.0083149,358007558.6966519,102530581.76428911,2050611.6352857822,102530581.76428914,148324872.0083149,4267004.8490523,2050611.6352857822,2421382.0971238124,-80755480.47643092,0.0,0.0,150375483.6436007,6688386.946176112,-0.48213670987129303,-12.073984523667622,-445451426.1192589,Road,,,,,,,,,,
201,scenario_19,-1121225215.6253505,-2522913704.7021255,352625123.7916697,794637036.6727514,254426328.61235362,5088526.572247073,254426328.6123538,352625123.7916697,10144307.510559477,5088526.572247073,6008581.503567211,-1248871125.3530123,0.0,0.0,357713650.3639168,16152889.014126688,-3.134421106056987,-77.31565073348787,-2059661051.0398905,Road,,,,,,,,,,
202,scenario_19,-315954653.8301601,-921409107.094848,191211564.68119022,285153189.6378463,129089698.94565128,2581793.9789130255,129089698.9456513,191211564.68119022,5500767.758247435,2581793.9789130255,3048607.357643719,-351924518.4557478,0.0,0.0,193793358.66010326,8549375.115891155,-1.6303688424344671,-41.16377088210903,-645627083.2094853,Road,,,,,,,,,,
206,scenario_19,72446118.09389663,-1285264945.7069178,142935970.24447098,1117086687.7791736,97688405.77716967,1953768.1155433934,97688405.7771697,142935970.24447098,4111977.10727141,1953768.1155433934,2307028.330232211,80693748.02717046,0.0,0.0,144889738.36001438,6419005.437503621,0.5000086197539148,12.571067093308557,-1042811945.1895068,Road,,,,,,,,,,
209,scenario_19,167498093.42374042,-974262462.264569,253701155.7129953,709055715.8041978,179003684.17111638,3580073.6834223275,179003684.17111635,253701155.7129953,7298466.177519016,3580073.6834223275,4227385.709832285,186566917.61246288,0.0,0.0,257281229.39641762,11525851.8873513,0.6510311452440248,16.186822408954008,-534014650.0790862,Road,,,,,,,,,,
227,scenario_19,9247713.03264184,-423360264.8063904,160838770.7169813,158244165.33462933,113525041.78742157,2270500.8357484313,113525041.78742158,160838770.7169813,4627004.259450816,2270500.8357484313,2681029.3965876745,10300519.12949148,0.0,0.0,163109271.55272973,7308033.65603849,0.05669642776653718,1.4094788850596434,-155251679.86117634,Road,,,,,,,,,,
