mode,development,scenarios,mean_bcr_integrated,std_bcr_integrated,min_bcr_integrated,max_bcr_integrated,mean_nb_integrated,std_nb_integrated,viable_scenarios_integrated
Road,791,3,-11.15024914392346,5.961951696866477,-17.881619535889783,-6.5350210233521,-655365665.3973395,60840607.705129415,0
Road,670,3,-11.46955619639128,8.772086840402869,-21.173254470422116,-4.102118183884193,-359401279.72619206,65409699.31673163,0
Road,809,3,-11.783079387543674,6.360093520932987,-18.960248590762077,-6.8465440204041546,-747435524.2063675,65229281.35013638,0
Road,629,3,-12.90264351244174,8.86315992885348,-22.78043887250073,-5.644807919696203,-907831554.761232,155808917.5347597,0
Road,759,3,-13.291872574570016,8.748184728387033,-23.072334438407985,-6.213569354198822,-1793349378.9329956,853600280.9982704,0
Road,394,3,-14.152068803290161,10.597284720591343,-25.907460892006515,-5.33149813032691,-405856101.41498214,106039672.16262677,0
Road,940,3,-14.30763922581054,9.278070636628271,-24.784211894915796,-7.129336507311288,-522595264.8021889,58112527.936704114,0
Road,63,3,-14.492288113564326,9.19697175861239,-24.79011883809407,-7.096085207300625,-1367579061.9305084,454413949.74980354,0
Road,285,3,-14.601010909020937,9.191145562729275,-24.893280845822915,-7.21232350727983,-1271498632.9478428,434349157.6162718,0
Road,614,3,-16.014995369808258,10.3529142912643,-27.698969282701597,-7.98294002986633,-489070601.6326399,61556075.34056483,0
Road,873,3,-16.82207517153906,10.613982300043608,-28.70627080676224,-8.285552399636886,-1313506410.557564,438747223.9127556,0
Road,109,3,-17.468613309047306,11.51194798200655,-30.3409649905339,-8.159830989594893,-1905334810.3479538,868354136.1016383,0
Road,935,3,-17.54010388036048,11.29803246262977,-30.27583661505645,-8.723488585614826,-1056750358.9517885,70065611.42439614,0
Road,971,3,-19.04159536735207,14.219572372888834,-34.88796567855399,-7.394749454107216,-710232744.4256003,232756890.9052045,0
Road,612,3,-19.196371635493747,12.661633869714422,-33.353092601029935,-8.95456194677015,-1878542038.620917,869019440.8059535,0
Road,521,3,-19.831605946403318,12.876053130537088,-34.22790941642136,-9.415911823208285,-1591071452.3389046,760149797.4208746,0
Road,628,3,-19.999383194685166,13.920863041641425,-35.75873042445869,-9.376962965050643,-1012716899.9509382,112094864.1710511,0
Road,726,3,-20.406138639334223,13.986193879616492,-36.27622347205204,-9.879007337543952,-784187291.1355586,103874892.65181346,0
Road,831,3,-21.029444777114964,14.611457257433225,-37.566817081720664,-9.865733386589952,-1045433995.9588823,117552232.31704132,0
Road,245,3,-22.117799624646526,14.908786311151827,-38.678413212634595,-9.765458024367458,-1360687410.4930983,157913279.2437767,0
Road,348,3,-22.31991806310187,14.870244052075819,-38.972117046999635,-10.367200322866864,-1146172318.999357,342099877.2440223,0
Road,546,3,-22.38679704940885,14.0651088788583,-38.29122550214388,-11.586047327736265,-473705534.2689085,87699038.49218158,0
Road,678,3,-22.444791552143666,14.468792779709014,-38.48276058796251,-10.371966089309709,-1147767526.624697,122223438.19397552,0
Road,150,3,-22.636236119448515,15.76867723671627,-40.28848265225012,-9.943612361048618,-719608477.8463877,358483406.4712003,0
Road,202,3,-23.041020509276525,16.139080781503512,-41.16377088210903,-10.21874547509836,-490688892.1404839,137979055.62674332,0
