development,scenario,tts_minutes,component
177,scenario_70,154.17230717785424,total
195,scenario_70,-8004.363568226865,total
197,scenario_70,-801.1386501716916,total
201,scenario_70,-10571.16740350175,total
202,scenario_70,-4089.662961532653,total
206,scenario_70,14.093064320506528,total
209,scenario_70,-619.7554523347644,total
227,scenario_70,119.08440669125412,total
233,scenario_70,-606.2962984818732,total
240,scenario_70,-28.40183609101223,total
243,scenario_70,-6183.417483267724,total
245,scenario_70,-9423.649134862004,total
249,scenario_70,-10283.839850553251,total
250,scenario_70,685.9024195812526,total
255,scenario_70,-897.3292331466218,total
261,scenario_70,-4255.0479074754985,total
267,scenario_70,71.6436852052575,total
270,scenario_70,-943.6954753099126,total
273,scenario_70,105.00192530750064,total
277,scenario_70,-5894.271434713097,total
284,scenario_70,-557.4220025185496,total
285,scenario_70,-10171.836129475969,total
289,scenario_70,-9924.783947011514,total
308,scenario_70,-1846.0526980402649,total
331,scenario_70,-11312.605375528045,total
334,scenario_70,6431.464278405008,total
348,scenario_70,-11756.164327289676,total
351,scenario_70,-17469.915990296577,total
356,scenario_70,-7816.853091158089,total
358,scenario_70,-8808.989090803021,total
390,scenario_70,-6410.2289893960115,total
392,scenario_70,279.75068001128966,total
394,scenario_70,31.777754758135416,total
423,scenario_70,4154.010982355627,total
459,scenario_70,-2858.900474591879,total
464,scenario_70,-13.15349089045776,total
469,scenario_70,-6020.888804691436,total
486,scenario_70,-10507.68985339458,total
493,scenario_70,-27.436346310540102,total
499,scenario_70,-8502.238660701609,total
517,scenario_70,-262.5537685455638,total
521,scenario_70,-17172.544619164022,total
531,scenario_70,-9133.871888144176,total
