mode,development,scenario,tts_annual_chf,cost_annual_chf_negative,cost_annual_chf_magnitude,bcr
Rail,100001,scenario_37,25167587.36260221,-1733979.1735291178,1733979.1735291178,14.514353890063942
Rail,100001,scenario_38,19797491.210913893,-1733979.1735291178,1733979.1735291178,11.417375429383405
Rail,100001,scenario_39,17589769.299801346,-1733979.1735291178,1733979.1735291178,10.14416411011523
Rail,100001,scenario_4,13507646.881966578,-1733979.1735291178,1733979.1735291178,7.789970657187799
Rail,100001,scenario_40,20314418.2939578,-1733979.1735291178,1733979.1735291178,11.715491514590944
Rail,100001,scenario_41,22194960.967461675,-1733979.1735291178,1733979.1735291178,12.8000158861706
Rail,100001,scenario_42,25676976.03184918,-1733979.1735291178,1733979.1735291178,14.80812251025459
Rail,100001,scenario_43,18126452.67840958,-1733979.1735291178,1733979.1735291178,10.453673812885153
Rail,100001,scenario_44,21291825.560546286,-1733979.1735291178,1733979.1735291178,12.279170295460728
Rail,100001,scenario_45,17865238.215926178,-1733979.1735291178,1733979.1735291178,10.303029291618062
Rail,100001,scenario_46,19934600.68536994,-1733979.1735291178,1733979.1735291178,11.496447586967045
Rail,100001,scenario_47,12896681.502408076,-1733979.1735291178,1733979.1735291178,7.437621915700309
Rail,100001,scenario_48,14718951.55753685,-1733979.1735291178,1733979.1735291178,8.48853999069654
Rail,100001,scenario_49,18489414.777796462,-1733979.1735291178,1733979.1735291178,10.662997030215472
Rail,100001,scenario_5,19752382.283841636,-1733979.1735291178,1733979.1735291178,11.39136074145584
Rail,100001,scenario_50,18640716.240935832,-1733979.1735291178,1733979.1735291178,10.750253823981588
Rail,100001,scenario_51,19223080.335910454,-1733979.1735291178,1733979.1735291178,11.086107970251033
Rail,100001,scenario_52,27126194.901025455,-1733979.1735291178,1733979.1735291178,15.643898909014169
