development,score_id,value,value_mode,development_label,value_mio_chf,plot_order
101025,rail_tts_cost,1980345.6811187174,standalone_annual_proxy,X25 (101025),1.9803456811187174,30
101026,rail_accident_cost,,standalone_annual_proxy,X26 (101026),,9
101026,rail_airpollution_cost,,standalone_annual_proxy,X26 (101026),,9
101026,rail_co2_cost,,standalone_annual_proxy,X26 (101026),,9
101026,rail_construction_cost,1583300.0,standalone_annual_proxy,X26 (101026),1.5833,9
101026,rail_land_consumption_cost,,standalone_annual_proxy,X26 (101026),,9
101026,rail_maint_cost,1234974.0,standalone_annual_proxy,X26 (101026),1.234974,9
101026,rail_noise_cost,,standalone_annual_proxy,X26 (101026),,9
101026,rail_operation_cost,8716102.867589945,standalone_annual_proxy,X26 (101026),8.716102867589944,9
101026,rail_tts_cost,7198686.092580002,standalone_annual_proxy,X26 (101026),7.198686092580002,9
101027,rail_accident_cost,,standalone_annual_proxy,X27 (101027),,5
101027,rail_airpollution_cost,,standalone_annual_proxy,X27 (101027),,5
101027,rail_co2_cost,,standalone_annual_proxy,X27 (101027),,5
101027,rail_construction_cost,1583300.0,standalone_annual_proxy,X27 (101027),1.5833,5
101027,rail_land_consumption_cost,,standalone_annual_proxy,X27 (101027),,5
101027,rail_maint_cost,1234974.0,standalone_annual_proxy,X27 (101027),1.234974,5
101027,rail_noise_cost,,standalone_annual_proxy,X27 (101027),,5
101027,rail_operation_cost,7133884.724548768,standalone_annual_proxy,X27 (101027),7.133884724548769,5
101027,rail_tts_cost,10304857.194569739,standalone_annual_proxy,X27 (101027),10.304857194569738,5
101028,rail_accident_cost,,standalone_annual_proxy,X28 (101028),,23
101028,rail_airpollution_cost,,standalone_annual_proxy,X28 (101028),,23
101028,rail_co2_cost,,standalone_annual_proxy,X28 (101028),,23
101028,rail_construction_cost,1583300.0,standalone_annual_proxy,X28 (101028),1.5833,23
101028,rail_land_consumption_cost,,standalone_annual_proxy,X28 (101028),,23
101028,rail_maint_cost,1234974.0,standalone_annual_proxy,X28 (101028),1.234974,23
101028,rail_noise_cost,,standalone_annual_proxy,X28 (101028),,23
101028,rail_operation_cost,11059719.81167283,standalone_annual_proxy,X28 (101028),11.05971981167283,23
101028,rail_tts_cost,4328238.8580819545,standalone_annual_proxy,X28 (101028),4.328238858081955,23
101029,rail_accident_cost,,standalone_annual_proxy,X29 (101029),,15
101029,rail_airpollution_cost,,standalone_annual_proxy,X29 (101029),,15
101029,rail_co2_cost,,standalone_annual_proxy,X29 (101029),,15
101029,rail_construction_cost,1583300.0,standalone_annual_proxy,X29 (101029),1.5833,15
101029,rail_land_consumption_cost,,standalone_annual_proxy,X29 (101029),,15
101029,rail_maint_cost,1234974.0,standalone_annual_proxy,X29 (101029),1.234974,15
101029,rail_noise_cost,,standalone_annual_proxy,X29 (101029),,15
101029,rail_operation_cost,12898231.613368692,standalone_annual_proxy,X29 (101029),12.898231613368692,15
101029,rail_tts_cost,5884432.94882094,standalone_annual_proxy,X29 (101029),5.88443294882094,15
101030,rail_accident_cost,,standalone_annual_proxy,X30 (101030),,16
101030,rail_airpollution_cost,,standalone_annual_proxy,X30 (101030),,16
101030,rail_co2_cost,,standalone_annual_proxy,X30 (101030),,16
101030,rail_construction_cost,1583300.0,standalone_annual_proxy,X30 (101030),1.5833,16
101030,rail_land_consumption_cost,,standalone_annual_proxy,X30 (101030),,16
101030,rail_maint_cost,1234974.0,standalone_annual_proxy,X30 (101030),1.234974,16
101030,rail_noise_cost,,standalone_annual_proxy,X30 (101030),,16
101030,rail_operation_cost,14397753.928245652,standalone_annual_proxy,X30 (101030),14.397753928245653,16
101030,rail_tts_cost,5823665.187200875,standalone_annual_proxy,X30 (101030),5.823665187200875,16
101031,rail_accident_cost,,standalone_annual_proxy,X31 (101031),,7
101031,rail_airpollution_cost,,standalone_annual_proxy,X31 (101031),,7
101031,rail_co2_cost,,standalone_annual_proxy,X31 (101031),,7
101031,rail_construction_cost,1583300.0,standalone_annual_proxy,X31 (101031),1.5833,7
101031,rail_land_consumption_cost,,standalone_annual_proxy,X31 (101031),,7
101031,rail_maint_cost,1234974.0,standalone_annual_proxy,X31 (101031),1.234974,7
101031,rail_noise_cost,,standalone_annual_proxy,X31 (101031),,7
101031,rail_operation_cost,7843392.589073222,standalone_annual_proxy,X31 (101031),7.843392589073222,7
101031,rail_tts_cost,8873780.469085252,standalone_annual_proxy,X31 (101031),8.873780469085252,7
101032,rail_accident_cost,,standalone_annual_proxy,X32 (101032),,34
101032,rail_airpollution_cost,,standalone_annual_proxy,X32 (101032),,34
101032,rail_co2_cost,,standalone_annual_proxy,X32 (101032),,34
101032,rail_construction_cost,1304925.0,standalone_annual_proxy,X32 (101032),1.304925,34
101032,rail_land_consumption_cost,,standalone_annual_proxy,X32 (101032),,34
101032,rail_maint_cost,1017841.5,standalone_annual_proxy,X32 (101032),1.0178415,34
101032,rail_noise_cost,,standalone_annual_proxy,X32 (101032),,34
101032,rail_operation_cost,6209265.796334621,standalone_annual_proxy,X32 (101032),6.209265796334621,34
101032,rail_tts_cost,720311.2493327365,standalone_annual_proxy,X32 (101032),0.7203112493327365,34
