development,scenario,status_quo_origin_access_tt,status_quo_network_tt,status_quo_destination_access_tt,status_quo_total_tt,development_origin_access_tt,development_network_tt,development_destination_access_tt,development_total_tt,origin_access_savings,network_savings,destination_access_savings,tt_savings_peak,monetized_savings_yearly,monetized_savings,access_savings,total_tts,network_share,total_tts_mmin,network_savings_mmin,access_savings_mmin
334,scenario_26,28665.435067869967,375340.7317023713,28665.435067869963,432671.6018381112,28288.595192926343,371906.3642489716,28288.595192926343,428483.5546348243,376.8398749436201,3434.3674533997546,376.8398749436165,4188.047203286958,1369840.4394084425,54793617.576337695,753.6797498872365,4188.047203286958,0.8200402924552321,0.004188047203286959,0.0034343674533997546,0.0007536797498872366
469,scenario_26,28665.435067869967,375340.7317023713,28665.435067869963,432671.6018381112,27050.16066345381,379514.6450328052,27050.16066345381,433614.9663597128,1615.2744044161518,-4173.91333043389,1615.2744044161482,-943.3645216015866,-308558.8122738523,-12342352.490954092,3230.5488088323,-943.3645216015866,4.42449682477742,-0.0009433645216015866,-0.00417391333043389,0.0032305488088323
662,scenario_26,28665.435067869967,375340.7317023713,28665.435067869963,432671.6018381112,28002.00198380751,390079.20043783705,28002.00198380751,446083.2044054521,663.433084062457,-14738.468735465722,663.4330840624534,-13411.602567340888,-4386711.673067749,-175468466.92270994,1326.8661681249105,-13411.602567340888,1.0989341998066613,-0.013411602567340888,-0.014738468735465722,0.0013268661681249104
689,scenario_26,28665.435067869967,375340.7317023713,28665.435067869963,432671.6018381112,27380.046959304116,383227.576116248,27380.04695930412,437987.6700348563,1285.388108565854,-7886.844413876708,1285.3881085658468,-5316.0681967450655,-1738797.3060186985,-69551892.24074794,2570.776217131701,-5316.0681967450655,1.483586011689181,-0.005316068196745066,-0.007886844413876708,0.002570776217131701
750,scenario_26,28665.435067869967,375340.7317023713,28665.435067869963,432671.6018381112,27765.899974392687,386723.9073592405,27765.89997439269,442255.70730802586,899.5350934772796,-11383.175656869193,899.5350934772723,-9584.10546991462,-3134801.1641179062,-125392046.56471623,1799.070186954552,-9584.10546991462,1.1877139387292863,-0.00958410546991462,-0.011383175656869193,0.001799070186954552
775,scenario_26,28665.435067869967,375340.7317023713,28665.435067869963,432671.6018381112,27964.50110297932,386875.20114409423,27964.501102979324,442804.2033500528,700.9339648906462,-11534.469441722904,700.9339648906389,-10132.601511941582,-3314205.077864226,-132568203.11456904,1401.867929781285,-10132.601511941582,1.1383522216016466,-0.010132601511941583,-0.011534469441722903,0.001401867929781285
789,scenario_26,28665.435067869967,375340.7317023713,28665.435067869963,432671.6018381112,27095.01709563195,382136.4258698736,27095.017095631945,436326.4600611375,1570.4179722380177,-6795.694167502283,1570.4179722380177,-3654.858223026211,-1195443.2104481563,-47817728.41792625,3140.8359444760354,-3654.858223026211,1.8593591742323372,-0.0036548582230262108,-0.006795694167502283,0.0031408359444760354
895,scenario_26,28665.435067869967,375340.7317023713,28665.435067869963,432671.6018381112,27069.665743283604,383056.2072863923,27069.6657432836,437195.5387729594,1595.769324586363,-7715.475584020955,1595.769324586363,-4523.9369348482,-1479704.3724399318,-59188174.89759728,3191.538649172726,-4523.9369348482,1.7054781477142424,-0.0045239369348482,-0.007715475584020954,0.003191538649172726
2,scenario_31,28665.43506964188,747945.6934381122,28665.435069641884,805276.563577396,26722.975479154728,766463.6176300952,26722.975479154728,819909.5685884047,1942.459590487153,-18517.924191983067,1942.459590487157,-14633.005011008703,-4786212.055684096,-191448482.22736385,3884.9191809743097,-14633.005011008703,1.2654901831887342,-0.014633005011008704,-0.018517924191983066,0.00388491918097431
103,scenario_31,28665.43506964188,747945.6934381122,28665.435069641884,805276.563577396,26826.88166881384,767104.1084579097,26826.881668813843,820757.8717955374,1838.553400828041,-19158.41501979751,1838.553400828041,-15481.308218141436,-5063677.896350428,-202547115.8540171,3677.106801656082,-15481.308218141436,1.237519126280758,-0.015481308218141436,-0.01915841501979751,0.003677106801656082
