run,case_type,development,scenario,od_pairs,total_demand,mean_tt_min_unweighted,median_tt_min_unweighted,p95_tt_min_unweighted,max_tt_min_unweighted,mean_tt_min_weighted,std_tt_min_unweighted
2iter_xscen_xdev_test,development,254,scenario_78,930,9768.76621583745,94.76459512691343,102.84769721193032,113.11198170374698,119.68191904848737,89.61370356450374,28.030387846918277
2iter_xscen_xdev_test,development,267,scenario_19,992,10070.325350513387,100.03686184705957,108.26917969520119,117.87228026945337,124.55370153000418,94.41522648637681,29.02681390420449
2iter_xscen_xdev_test,development,267,scenario_26,992,4570.5612096499935,42.50569255996492,45.72887968331197,53.28305444769665,59.24305091790311,40.45267988048291,12.65368622238236
2iter_xscen_xdev_test,development,267,scenario_44,992,7710.426793717192,67.99647997268501,73.55961095728406,81.83808676514195,88.19659752296481,64.34736232481269,19.932549300047828
2iter_xscen_xdev_test,development,267,scenario_64,992,9541.856125690309,91.77270690589229,99.31100257863523,108.51644884917863,115.19099622933591,86.64951416609271,26.691615110293682
2iter_xscen_xdev_test,development,267,scenario_78,992,10459.012432458003,106.44959817130244,115.19468963708906,125.15349544844834,131.83671656648565,100.41327431865203,30.84763916954391
2iter_xscen_xdev_test,development,28,scenario_19,992,10131.425515891278,99.24470455328752,107.21701542090423,117.94085796222427,126.75608417053758,93.30882256443805,29.12664427202409
2iter_xscen_xdev_test,development,28,scenario_26,992,4598.088676033247,42.70900505964937,45.587834667251194,53.586245303179275,61.48218502522396,40.87980507819692,12.896105340084391
2iter_xscen_xdev_test,development,28,scenario_44,992,7757.230992909386,67.76109605619723,72.98595877868567,81.98303814737113,90.39945520377337,64.09316797945117,20.098294957803695
2iter_xscen_xdev_test,development,28,scenario_64,992,9600.117131298472,91.11841695851022,98.36990405214323,108.65535914944833,117.39067790219184,85.75109127748743,26.804701858241142
2iter_xscen_xdev_test,development,28,scenario_78,992,10522.79949059171,105.5392777219045,114.0733977518926,125.05999344747941,134.03106803065253,99.12435982961682,30.93360794085435
