development,scenario_count,mean_delta_vkm_annualized,median_delta_vkm_annualized,std_delta_vkm_annualized,mean_delta_vkm_peak_hour,median_delta_vkm_peak_hour,std_delta_vkm_peak_hour
780,10,1261772.5046149069,1202405.3358697337,302710.222073657,2018.836007383851,1923.8485373915737,484.3363553178511
789,10,7900825.977186628,7533947.033473161,1944280.4443676786,12641.321563498605,12054.315253557059,3110.848710988286
791,10,2811932.6029079845,2679978.9370539975,688948.4883500708,4499.092164652775,4287.966299286396,1102.3175813601133
809,10,2940746.592428258,2802747.2292247554,720398.0298272856,4705.194547885213,4484.395566759609,1152.6368477236567
810,10,3555912.0754622445,3390479.618553105,878390.7429197121,5689.459320739591,5424.767389684968,1405.4251886715392
811,10,193697.44832986442,184800.97818614662,42057.500388766,309.91591732778306,295.68156509783455,67.29200062202561
813,10,3999440.4304133477,3813101.874093998,983260.6233295118,6399.104688661357,6100.962998550398,1573.2169973272191
822,10,1139368.5041263262,1085482.85669124,281115.48115361185,1822.9896066021217,1736.772570705984,449.78476984577907
831,10,1368365.0746809882,1304028.4051606702,341454.5891279122,2189.3841194895813,2086.4454482570723,546.3273426046595
837,10,871055.3550397188,829229.2334550978,216821.74801490034,1393.68856806355,1326.7667735281566,346.9147968238407
858,10,3521138.2485267,3357559.519491862,869841.863033,5633.821197642719,5372.095231186979,1391.7469808528
863,10,2946717.3490688195,2809344.1875015656,725943.4703801611,4714.7477585101105,4494.950700002505,1161.5095526082575
866,10,1181580.687761163,1125811.437914131,291754.8573816248,1890.529100417861,1801.2983006626093,466.8077718105997
873,10,7061834.310217684,6733514.071820041,1739748.1950818794,11298.934896348295,10773.622514912066,2783.5971121310076
878,10,2456308.99140896,2340588.797731979,603359.9793358782,3930.0943862543363,3744.942076371166,965.3759669374053
887,10,2171687.5186846266,2070571.1439701647,538404.586909892,3474.700029895403,3312.913830352264,861.4473390558272
895,10,6513791.56888617,6210862.668927056,1603265.5500819837,10422.066510217872,9937.38027028329,2565.2248801311744
90,10,736180.4491831718,700650.3808495777,183991.40918348407,1177.888718693075,1121.0406093593244,294.38625469357453
935,10,1438531.3178865046,1370672.5042211306,353217.7162683787,2301.650108618407,2193.0760067538095,565.148346029406
938,10,2390885.416839545,2279009.437796379,587748.2564102077,3825.416666943272,3646.415100474206,940.3972102563322
94,10,-7156.14432082148,-6756.586414253012,7534.841062273128,-11.449830913314367,-10.810538262804819,12.055745699637002
940,10,1436881.2568688635,1369356.9143426642,353563.70445609774,2299.0100109901814,2190.9710629482624,565.7019271297562
945,10,7033016.695842117,6707202.418405456,1736313.494050595,11252.826713347386,10731.523869448727,2778.101590480951
952,10,7771484.229144445,7410682.906051006,1912924.4151536433,12434.374766631112,11857.09264968161,3060.679064245829
958,10,928509.0628338602,884666.6369197285,221171.73426534422,1485.6145005341764,1415.4666190715657,353.8747748245507
964,10,238849.26440024743,226962.2205490084,60663.4601987664,382.15882304039593,363.13955287841344,97.06153631802624
970,10,1636905.766672214,1560701.832111786,407593.2236620062,2619.0492266755427,2497.122931378857,652.1491578592099
971,10,730552.9870033519,696837.5749943642,174902.08847052808,1168.8847792053632,1114.9401199909826,279.84334155284483
987,10,39029.143159082705,39011.99709014484,996.1600518902953,62.44662905453233,62.41919534423174,1.5938560830244723
