development,component,scenario_count,mean_tts_minutes,median_tts_minutes,std_tts_minutes,min_tts_minutes,max_tts_minutes,n_positive,n_negative
249,access_only,10,624.9796770854111,596.1129201513031,154.22359324843958,372.54911925563283,857.3587273956218,10,0
249,destination_access,10,-27.813427954222607,-26.605316917060918,7.208440555219208,-38.82404204236809,-16.025158948019453,0,10
249,network,10,-19880.921977952996,-15457.99383269262,12290.190291186565,-41285.63964477158,-5516.296063852613,0,10
249,origin_access,10,652.7931050396337,622.718237068364,161.42501755845942,388.5742782036523,896.1827694379899,10,0
249,total,10,-19255.942300867584,-14861.880912541354,12139.52284980498,-40428.28091737605,-5143.746944596962,0,10
25,access_only,10,-565.8332654528574,-539.7068247320258,139.33776761275834,-775.8201855346924,-337.7596910340435,0,10
25,destination_access,10,-211.98123300709577,-202.25475658740652,52.51093510280993,-291.25988977007364,-126.03054656255516,0,10
25,network,10,-18926.679290552922,-14433.301980699063,12309.667621348353,-40457.297807711875,-4739.647955513588,0,10
25,origin_access,10,-353.85203244576167,-337.45206814461926,86.8279445824533,-484.5602957646188,-211.72914447148833,0,10
25,total,10,-19492.5125560058,-14973.008805431135,12445.654636989924,-41233.11799324677,-5077.407646547625,0,10
250,access_only,10,2180.7179083133515,2080.149206586531,537.5251884433537,1300.8510925969076,2990.785109827011,10,0
250,destination_access,10,1198.8769322776213,1143.3920028506725,294.54043785463017,716.7520733234705,1642.3268472814598,10,0
250,network,10,-1202.2451319542656,-1219.6466707557556,153.85379777378554,-1358.2992034975905,-857.0484639735078,0,10
250,origin_access,10,981.8409760357301,936.7572037358586,242.98747581345157,584.0990192734371,1348.4582625455514,10,0
250,total,10,978.4727763590956,860.5025358307175,396.9368307403027,443.80262862340896,1639.0308501895051,10,0
255,access_only,10,637.3700306907031,607.9230292068714,156.86105431011867,380.62002242880044,873.66520791109,10,0
255,destination_access,10,226.6619346366373,215.96591154714403,54.685860616996074,137.1621944853032,308.527275974262,10,0
255,network,10,-2428.7103953973447,-1952.2431915917841,1363.0275676466965,-4785.592871833593,-792.6482546567568,0,10
255,origin_access,10,410.7080960540658,391.9571176597274,102.18833742387422,243.45782794349725,565.137931936828,10,0
255,total,10,-1791.3403647066384,-1344.3201623849745,1209.7127481694642,-3911.9276639225423,-412.0282322279527,0,10
261,access_only,10,25.319342305219287,24.16761530878103,6.313752563048203,14.982578543864292,34.852838261540455,10,0
261,destination_access,10,131.29588663874856,125.04686812654109,31.434900977910537,79.85787696485568,178.23398091158015,10,0
261,network,10,-8267.011175530924,-6291.754289075412,5400.377288587891,-17709.412840053672,-2050.21107688584,0,10
261,origin_access,10,-105.97654433352928,-100.87416855563424,25.12583587379446,-143.3811426500397,-64.87529842099138,0,10
261,total,10,-8241.691833225734,-6267.5866737666365,5394.2206483500995,-17674.560001792386,-2035.228498341952,0,10
267,access_only,10,351.8936268867634,335.4584330802736,85.72935180498283,211.57705329911187,480.63675694842095,10,0
267,destination_access,10,184.7849928777854,176.17060537166435,45.100421866135555,110.96685680130032,252.55536019952703,10,0
267,network,10,-279.7060881564277,-262.89700087721576,77.16011610913851,-408.5963240149431,-162.88194114458747,0,10
267,origin_access,10,167.10863400897796,159.28782770860926,40.62905606344255,100.61019649781156,228.0813967488939,10,0
267,total,10,72.1875387303182,71.31193604524015,13.360956063353163,48.69511215452803,101.584276414942,10,0
27,access_only,10,-588.5512133824905,-561.3912453540543,145.01324973541733,-807.1241898118242,-351.18854203222145,0,10
27,destination_access,10,-286.6546124986009,-273.4497789106663,70.74696675897802,-393.34069306425226,-170.85344960118528,0,10
27,network,10,-17718.60344600625,-13540.42456745755,11462.28159969183,-37759.72999385232,-4489.982474684657,0,10
27,origin_access,10,-301.89660088388956,-287.941466443388,74.2664234714587,-413.7834967475719,-180.33509243103617,0,10
27,total,10,-18307.154659388765,-14101.815812811663,11603.831387317841,-38566.85418366431,-4841.171016716893,0,10
270,access_only,10,533.4419870605249,508.86744142581483,131.63863330592903,317.9780329032619,731.9024102010444,10,0
270,destination_access,10,63.654533773131334,60.54461999420346,14.969713322438162,39.170095324894646,85.8628931404237,10,0
270,network,10,-2224.6953207860815,-1838.1104493374003,1141.8740976905347,-4183.812821977306,-816.6979112690897,0,10
270,origin_access,10,469.78745328739353,448.2976083610811,116.68524810902768,278.8079375783673,646.0395170606207,10,0
270,total,10,-1691.2533337255736,-1329.243007911602,1012.8157691853818,-3451.910411776509,-498.71987836583867,0,10
273,access_only,10,713.0209464548012,680.0667235308229,175.40180439431742,425.9115901086061,977.2013306317604,10,0
273,destination_access,10,382.1657283271672,364.4242275042361,93.62282626132064,228.9202095864257,523.0002853796177,10,0
