mode,development,scenario_count,tts_median_chf,tts_mean_chf,cost_median_chf_negative,cost_mean_chf_negative,bcr_median,bcr_mean,bcr_std,cost_median_chf_magnitude,cost_mean_chf_magnitude,tts_median_mio_chf,cost_median_mio_chf_negative,cost_median_mio_chf_magnitude,net_median_mio_chf,development_label,ranking_label
Road,308,10,-636639.7924798124,-633659.0470304369,-59435506.20703493,-59454959.34599636,-0.010711277957347352,-0.01065548045096355,0.0015400437443222695,59435506.20703493,59454959.34599636,-0.6366397924798124,-59.43550620703493,59.43550620703493,-60.072145999514746,308,Road 308
Road,331,10,-5119794.80147198,-6658863.12455717,-86304948.39476955,-86346680.93430467,-0.05931692213528101,-0.07700779219926401,0.04885178479507982,86304948.39476955,86346680.93430467,-5.11979480147198,-86.30494839476955,86.30494839476955,-91.42474319624154,331,Road 331
Road,334,10,3084748.8893856406,4178701.4259236353,-6773364.484729044,-6768303.767274496,0.45549688213921213,0.618951191446911,0.4376716308393131,6773364.484729044,6768303.767274496,3.0847488893856405,-6.773364484729044,6.773364484729044,-3.688615595343404,334,Road 334
Road,348,10,-5171109.046503852,-6575568.764651738,-25009444.967706863,-25062353.94999079,-0.20669345360834257,-0.2608522470661193,0.15347943195722347,25009444.967706863,25062353.94999079,-5.171109046503852,-25.009444967706862,25.009444967706862,-30.180554014210713,348,Road 348
Road,351,10,-8058245.44740607,-10614924.075993158,-10978889.636609785,-11018873.318031698,-0.7334843893147387,-0.952962764855496,0.609732294347651,10978889.636609785,11018873.318031698,-8.05824544740607,-10.978889636609786,10.978889636609786,-19.03713508401586,351,Road 351
Road,356,10,-3493809.327751358,-4501442.454298909,-14233929.472935043,-14255515.654720694,-0.24539128796763643,-0.31440869879374617,0.1928507902726766,14233929.472935043,14255515.654720694,-3.493809327751358,-14.233929472935044,14.233929472935044,-17.727738800686403,356,Road 356
Road,358,10,-4036505.055541747,-5300663.924642907,-72646076.88876814,-72683144.30778795,-0.0555586610222414,-0.07281617296203058,0.04732276038681961,72646076.88876814,72683144.30778795,-4.036505055541747,-72.64607688876814,72.64607688876814,-76.68258194430989,358,Road 358
Road,390,10,-3008270.608583543,-4017216.6711298935,-17944886.178744316,-17962027.640208643,-0.167608030819665,-0.22298418108887913,0.1505413696698956,17944886.178744316,17962027.640208643,-3.008270608583543,-17.944886178744316,17.944886178744316,-20.95315678732786,390,Road 390
Road,392,10,136409.2035147627,185352.87674275908,-5449050.098864296,-5449638.749731628,0.025033147834204468,0.03400247241332037,0.02431042525084426,5449050.098864296,5449638.749731628,0.13640920351476268,-5.449050098864296,5.449050098864296,-5.312640895349533,392,Road 392
Road,394,10,-4173.864746792944,-25113.694538878004,-10294801.245199397,-10303565.71151944,-0.0004047196945088246,-0.00241971661514231,0.0045881831834787366,10294801.245199397,10303565.71151944,-0.004173864746792944,-10.294801245199396,10.294801245199396,-10.29897510994619,394,Road 394
Road,423,10,2050797.5347468322,2832405.7194183627,-10015063.386924453,-10015484.79792241,0.20477026020921507,0.2827716298680314,0.2074759887732914,10015063.386924453,10015484.79792241,2.0507975347468324,-10.015063386924453,10.015063386924453,-7.96426585217762,423,Road 423
Road,459,10,-1083292.638513933,-1203287.829623578,-60393989.87402504,-60418472.831632555,-0.017936385685960104,-0.019902349288093445,0.007042679252777967,60393989.87402504,60418472.831632555,-1.083292638513933,-60.39398987402504,60.39398987402504,-61.47728251253897,459,Road 459
Road,464,10,-1446.291587960219,566.948686243675,-5692637.7733106045,-5692675.720491715,-0.0002540588378513831,9.965899524947836e-05,0.0010343628844376273,5692637.7733106045,5692675.720491715,-0.001446291587960219,-5.692637773310604,5.692637773310604,-5.694084064898565,464,Road 464
Road,469,10,-2786622.040968636,-3687084.4176163124,-7605142.699758554,-7631550.755259392,-0.36617422021678786,-0.47815686295503257,0.30954310752405895,7605142.699758554,7631550.755259392,-2.786622040968636,-7.605142699758554,7.605142699758554,-10.39176474072719,469,Road 469
Road,486,10,-4730372.3474760875,-6127932.703608396,-83180535.83801275,-83223159.88382229,-0.05686350256139691,-0.07352238285489124,0.04614107239453887,83180535.83801275,83223159.88382229,-4.730372347476088,-83.18053583801276,83.18053583801276,-87.91090818548885,486,Road 486
Road,493,10,-1795.0738528979314,6064.522934368989,-5499532.651510747,-5499633.290406056,-0.00032640700036074113,0.001102637811938706,0.0035233840074069193,5499532.651510747,5499633.290406056,-0.0017950738528979314,-5.499532651510747,5.499532651510747,-5.501327725363645,493,Road 493
Road,499,10,-3796833.4895932684,-4885603.701827378,-7170130.042163523,-7195538.391557631,-0.52921603266221,-0.6723354132168116,0.40410984539336087,7170130.042163523,7195538.391557631,-3.7968334895932685,-7.170130042163523,7.170130042163523,-10.966963531756791,499,Road 499
Road,517,10,-120506.59658019376,-159443.02056055644,-6023324.080007851,-6026914.556632724,-0.02000450770679938,-0.02640811081633631,0.0172949185766958,6023324.080007851,6026914.556632724,-0.12050659658019376,-6.023324080007851,6.023324080007851,-6.143830676588045,517,Road 517
Road,521,10,-7831520.992029639,-10239737.413516015,-63739013.75343474,-63796543.97230117,-0.1228481251575467,-0.16007444592839631,0.10261956812608417,63739013.75343474,63796543.97230117,-7.831520992029639,-63.73901375343474,63.73901375343474,-71.57053474546439,521,Road 521
Road,531,10,-4221132.969662078,-5571548.208591909,-9009407.276705414,-9039748.885186505,-0.46823180367774225,-0.6101790823311461,0.39316572689388285,9009407.276705414,9039748.885186505,-4.221132969662078,-9.009407276705414,9.009407276705414,-13.230540246367491,531,Road 531
