development,development_label,road_climate_cost,road_construction_cost,road_ecological_disruption_cost,road_land_consumption_cost,road_maint_cost,road_noise_cost,road_tts_cost,road_externalities_total_cost,road_total_cost_without_tts,road_construction_cost_mio_chf,road_maint_cost_mio_chf,road_tts_cost_mio_chf,road_climate_cost_mio_chf,road_land_consumption_cost_mio_chf,road_ecological_disruption_cost_mio_chf,road_noise_cost_mio_chf,road_externalities_total_cost_mio_chf,road_total_cost_without_tts_mio_chf
27,27,-214263.38862385572,-3758757.8132895664,-699487.2676303958,-27506.100581844938,-2086937.2983582704,-24257895.803687997,-5120282.318797795,-25199152.560524095,-31044847.67217193,-3.7587578132895665,-2.0869372983582704,-5.120282318797795,-0.21426338862385572,-0.02750610058184494,-0.6994872676303958,-24.257895803687997,-25.199152560524094,-31.044847672171933
270,270,-151280.649894981,-11076130.46524842,-251781.02281885865,-7619.544151958515,-5493731.5520326225,-7432897.035841353,-473022.41677637136,-7843578.252707152,-24413440.269988194,-11.07613046524842,-5.493731552032623,-0.47302241677637136,-0.151280649894981,-0.007619544151958515,-0.25178102281885867,-7.4328970358413535,-7.843578252707152,-24.413440269988193
273,273,-163678.0817398619,-3561471.9966258584,-509311.1791528679,-13974.460544013094,-1945537.4422950253,-9813095.043813806,52391.0316484157,-10500058.765250549,-16007068.204171432,-3.5614719966258583,-1.9455374422950253,0.0523910316484157,-0.1636780817398619,-0.013974460544013094,-0.5093111791528678,-9.813095043813806,-10.500058765250548,-16.007068204171432
277,277,-262982.15785220684,-25041091.552207287,-202729.05771652097,-60891.05746164966,-12298827.571812635,-9130764.4091066,-3282962.197397316,-9657366.682136977,-46997285.806156896,-25.041091552207288,-12.298827571812636,-3.2829621973973158,-0.26298215785220685,-0.06089105746164966,-0.20272905771652097,-9.130764409106598,-9.657366682136978,-46.997285806156896
28,28,-1281627.3568132352,-61272403.03390018,-2551567.0417691534,-241462.3347631658,-30957887.33441809,-25520882.10680478,227117.82482313347,-29595538.840150334,-121825829.20846859,-61.272403033900176,-30.95788733441809,0.22711782482313347,-1.2816273568132353,-0.2414623347631658,-2.5515670417691534,-25.52088210680478,-29.595538840150333,-121.82582920846859
284,284,-274803.0304643845,-4146020.500397512,-883839.5171011481,-10771.461923286804,-2363348.814401673,-25103429.260658644,-285999.71541029355,-26272843.270147465,-32782212.58494665,-4.146020500397512,-2.363348814401673,-0.28599971541029356,-0.2748030304643845,-0.010771461923286804,-0.8838395171011482,-25.103429260658643,-26.272843270147465,-32.78221258494665
285,285,-571671.8695196597,-27041298.19375701,-1198419.001695178,-127952.47001257322,-13668943.99373594,-11457862.7273555,-5299926.413883233,-13355906.068582911,-54066148.25607586,-27.041298193757008,-13.668943993735938,-5.299926413883234,-0.5716718695196596,-0.12795247001257323,-1.198419001695178,-11.4578627273555,-13.355906068582911,-54.066148256075856
289,289,-536623.9319535441,-45172758.46108522,-447329.99999990955,-75878.9009403073,-22325340.519414105,-11179043.39170248,-5171806.732805694,-12238876.224596241,-79736975.20509557,-45.17275846108522,-22.325340519414105,-5.1718067328056945,-0.5366239319535442,-0.0758789009403073,-0.4473299999999095,-11.17904339170248,-12.238876224596241,-79.73697520509558
308,308,-793190.3856512317,-31802725.41383822,-1798076.4311998207,-144330.094699999,-16247962.13882817,-21813533.968179625,-568893.3687523839,-24549130.879730675,-72599818.43239707,-31.802725413838218,-16.247962138828168,-0.5688933687523838,-0.7931903856512318,-0.144330094699999,-1.7980764311998207,-21.813533968179623,-24.549130879730676,-72.59981843239707
331,331,-882199.3559535376,-45232975.77197797,-405408.7374926392,-266930.4643584318,-23936601.31629083,-10505659.546078738,-5978267.165509897,-12060198.103883347,-81229775.19215214,-45.23297577197797,-23.93660131629083,-5.978267165509897,-0.8821993559535376,-0.2669304643584318,-0.4054087374926392,-10.505659546078737,-12.060198103883346,-81.22977519215215
