mode,development,scenario_count,mean_tts_minutes,median_tts_minutes,std_tts_minutes,min_tts_minutes,max_tts_minutes,q1_tts_minutes,q3_tts_minutes,mean_tts_chf_yearly,median_tts_chf_yearly,std_tts_chf_yearly,n_positive,n_negative,iqr_tts_minutes
Rail,101022,100,16180.621301274841,15628.83409547765,4297.529107038386,6504.198100566574,29509.29062462499,13630.152416467972,18653.25619768926,2484426.5300020766,2399703.28313329,659856.9441916975,100,0,5023.103781221289
Rail,101025,100,14680.540427820706,14181.523874284176,3869.4661920614612,5963.404902220428,26648.558522219828,12370.19358289319,16915.57226038174,2254099.112422351,2177478.44740384,594130.7373497571,100,0,4545.378677488552
Rail,100004,100,14401.423103394867,13910.346992969862,3824.9319120180044,5789.111236095122,26264.36524773133,12131.373486279663,16601.94444060071,2211242.508038926,2135841.045123902,587292.7955442846,100,0,4470.570954321047
Rail,100003,100,13020.165655270179,12577.604452133673,3434.7709660220785,5282.7931365959375,23647.381332402583,10970.592797279387,15002.103613854924,1999159.6352623673,1931207.3129287777,527386.1833595833,100,0,4031.5108165755373
Rail,101004,100,10725.647904720123,10522.853687285606,2448.023768234603,5029.400171279194,18091.453117378405,9205.520198818267,12151.907859804849,1646851.7314504099,1615714.0313247894,375877.72945396835,100,0,2946.387660986582
Rail,101032,100,5384.918864045396,5258.702780843305,1284.0853896949993,2423.8974999184575,9290.046358585241,4586.163490234067,6132.291610867323,826818.3921150769,807438.7539799504,197162.75101840246,100,0,1546.128120633256
Rail,101018,100,2117.5885855890347,2045.5873122208868,558.4956711016359,859.4660041336465,3845.374759674305,1784.291290879628,2439.9238095285546,325141.61005995894,314086.294542769,85753.28699318216,100,0,655.6325186489266
Rail,101009,100,1448.2981958345204,1398.9091923231172,384.3812855185275,582.7668135174463,2640.0969848650857,1220.0609017593524,1669.17241024712,222376.53264908504,214793.18041993247,59019.18384946644,100,0,449.11150848776765
Rail,101019,100,1310.322766475648,1274.0143547061598,325.3497048668628,566.6000537873333,2308.072929382324,1113.5973234174162,1499.2346744537645,201191.3253072259,195616.41073609944,49955.27818427433,100,0,385.63735103634826
Rail,101005,100,1103.9129151726775,1066.2713718415762,293.199026859186,443.73999214178184,2013.2729721075157,929.9046592714149,1272.595898628424,169498.46870533013,163718.86067046173,45018.75591404893,100,0,342.6912393570092
