development,scenario,veh_km,status_quo_veh_km,delta_veh_km,delta_pct
736,scenario_78,562136.1041843876,562067.9056858013,68.19849858630914,0.012133498087405907
750,scenario_78,578301.5374254128,562067.9056858013,16233.631739611505,2.888197595947808
755,scenario_78,566519.8622112857,562067.9056858013,4451.956525484449,0.7920673784162148
759,scenario_78,585305.0156163983,562067.9056858013,23237.109930597013,4.134217537691375
761,scenario_78,561993.9544360669,562067.9056858013,-73.95124973438215,-0.013156995620333687
764,scenario_78,570219.0761188375,562067.9056858013,8151.170433036168,1.450210971055286
767,scenario_78,562012.1934684243,562067.9056858013,-55.712217377033085,-0.009912008284667385
770,scenario_78,562340.278290209,562067.9056858013,272.37260440771934,0.04845902099238111
775,scenario_78,577376.2999135614,562067.9056858013,15308.394227760145,2.723584476698019
776,scenario_78,566010.7797889676,562067.9056858013,3942.8741031662794,0.7014942613304744
780,scenario_78,564815.7954866878,562067.9056858013,2747.889800886507,0.4888892913274772
789,scenario_78,579393.5689224654,562067.9056858013,17325.663236664142,3.082485774654651
791,scenario_78,568224.0373393911,562067.9056858013,6156.131653589779,1.0952647520549033
809,scenario_78,568505.7857402887,562067.9056858013,6437.880054487381,1.145391862684682
810,scenario_78,569875.0233222534,562067.9056858013,7807.11763645208,1.388999008389619
811,scenario_78,562481.435283326,562067.9056858013,413.52959752466995,0.07357288920812978
813,scenario_78,570835.3647606915,562067.9056858013,8767.459074890241,1.5598576232871217
822,scenario_78,564567.9391000536,562067.9056858013,2500.033414252335,0.44479205963591634
831,scenario_78,565081.2109158535,562067.9056858013,3013.3052300522104,0.5361105303416244
837,scenario_78,563983.089477078,562067.9056858013,1915.183791276766,0.3407388630275864
858,scenario_78,569798.7971064529,562067.9056858013,7730.8914206515765,1.3754372634421832
863,scenario_78,568531.9330827929,562067.9056858013,6464.027396991616,1.1500438526381613
866,scenario_78,564660.3612499288,562067.9056858013,2592.4555641275365,0.4612352952201352
873,scenario_78,577558.128260476,562067.9056858013,15490.222574674757,2.755934366288807
878,scenario_78,567448.8413963492,562067.9056858013,5380.935710547958,0.9573461953822937
887,scenario_78,566841.2022043064,562067.9056858013,4773.296518505085,0.8492384052209843
895,scenario_78,576352.2365160093,562067.9056858013,14284.330830208026,2.5413888047528967
9,scenario_78,531378.3797529291,562067.9056858013,-30689.525932872202,-5.460110001375491
90,scenario_78,563688.5562872266,562067.9056858013,1620.6506014253246,0.2883371537550974
935,scenario_78,565220.0336255665,562067.9056858013,3152.127939765225,0.560809095818981
938,scenario_78,567308.9611355625,562067.9056858013,5241.0554497612175,0.932459476291641
94,scenario_78,562040.5508229462,562067.9056858013,-27.35486285504885,-0.004866825267611055
940,scenario_78,565217.6554977322,562067.9056858013,3149.749811930931,0.5603859925230559
945,scenario_78,577508.0512608348,562067.9056858013,15440.1455750335,2.7470249446451436
952,scenario_78,579111.0655607453,562067.9056858013,17043.159874944016,3.0322243455884537
958,scenario_78,564086.2367227658,562067.9056858013,2018.3310369645478,0.35909024809055806
964,scenario_78,562596.3431785798,562067.9056858013,528.4374927785248,0.09401666372210975
970,scenario_78,565670.8940680125,562067.9056858013,3602.988382211188,0.6410236816163768
971,scenario_78,563660.6911217481,562067.9056858013,1592.7854359467747,0.28337953827898327
987,scenario_78,562128.5045064721,562067.9056858013,60.598820670857094,0.010781405602036302
0,scenario_89,346338.72707066033,347030.8183515454,-692.0912808850408,-0.19943222454207107
103,scenario_89,356324.4998602236,347030.8183515454,9293.681508678244,2.6780565348128995
104,scenario_89,347500.968950561,347030.8183515454,470.1505990156438,0.135478053865342
109,scenario_89,361364.3078518157,347030.8183515454,14333.489500270342,4.13032178766048
114,scenario_89,348822.0361397191,347030.8183515454,1791.2177881737007,0.5161552500386812
12,scenario_89,350133.82044645457,347030.8183515454,3103.0020949091995,0.8941575015293973
126,scenario_89,356230.71197071875,347030.8183515454,9199.893619173381,2.651030724842946
140,scenario_89,347440.793444162,347030.8183515454,409.9750926166307,0.11813794940866669
143,scenario_89,347131.84487156005,347030.8183515454,101.02652001468232,0.029111685381308566
144,scenario_89,352547.4436173761,347030.8183515454,5516.62526583072,1.5896643681490927
15,scenario_89,346427.94307864935,347030.8183515454,-602.8752728960244,-0.17372384267189386
150,scenario_89,352981.02695357695,347030.8183515454,5950.208602031576,1.714605241775375
152,scenario_89,327429.1405295045,347030.8183515454,-19601.67782204086,-5.648396852807517
17,scenario_89,358060.8712212761,347030.8183515454,11030.052869730745,3.178407301727653
176,scenario_89,348727.29947058024,347030.8183515454,1696.48111903487,0.4888560408246853
177,scenario_89,347090.8189290432,347030.8183515454,60.000577497819904,0.017289697146447316
195,scenario_89,353235.1762654239,347030.8183515454,6204.3579138785135,1.7878406140844363
197,scenario_89,348337.7996485716,347030.8183515454,1306.9812970262137,0.3766182217575356
2,scenario_89,355467.3092837242,347030.8183515454,8436.4909321788,2.4310494878390188
201,scenario_89,356432.79671491083,347030.8183515454,9401.978363365459,2.709263231440491
202,scenario_89,350756.7973608046,347030.8183515454,3725.979009259201,1.073673809997114
206,scenario_89,348218.5098661952,347030.8183515454,1187.6915146498359,0.34224381577739116
209,scenario_89,350620.20620026963,347030.8183515454,3589.387848724262,1.034313858859699
227,scenario_89,347736.10067069234,347030.8183515454,705.2823191469652,0.20323333889974804
233,scenario_89,348097.93784622825,347030.8183515454,1067.1194946828764,0.30749992169337387
240,scenario_89,347827.8002298864,347030.8183515454,796.981878341001,0.2296573780181249
243,scenario_89,357769.90606621053,347030.8183515454,10739.087714665162,3.0945631185373195
245,scenario_89,353264.46618060535,347030.8183515454,6233.647829059977,1.7962807622305277
249,scenario_89,356503.4535343095,347030.8183515454,9472.635182764148,2.7296236189514103
25,scenario_89,353793.9230868459,347030.8183515454,6763.104735300527,1.9488484531219474
250,scenario_89,349595.3945633672,347030.8183515454,2564.5762118218117,0.7390053206236781
254,scenario_89,324108.2874278752,347030.8183515454,-22922.530923670158,-6.605330048943787
255,scenario_89,348677.8418241269,347030.8183515454,1647.0234725815244,0.47460438251713843
261,scenario_89,350038.706493996,347030.8183515454,3007.8881424506544,0.8667495747895324
267,scenario_89,347638.24250786577,347030.8183515454,607.4241563203977,0.17503464366818036
27,scenario_89,353571.0537697849,347030.8183515454,6540.23541823955,1.8846266880004392
270,scenario_89,348888.535169626,347030.8183515454,1857.716818080633,0.5353175337294537
273,scenario_89,348089.4209514562,347030.8183515454,1058.6025999108097,0.3050457031278518
277,scenario_89,352527.681013791,347030.8183515454,5496.862662245636,1.5839695991141811
28,scenario_89,359708.2231584706,347030.8183515454,12677.404806925217,3.6531063342284753
284,scenario_89,348696.28292824293,347030.8183515454,1665.464576697559,0.4799183497906023
285,scenario_89,356776.5903184544,347030.8183515454,9745.771966909,2.808330399358493
289,scenario_89,356338.2933529161,347030.8183515454,9307.475001370709,2.682031251743801
308,scenario_89,351506.8763843825,347030.8183515454,4476.058032837114,1.2898157155318775
331,scenario_89,356632.024567169,347030.8183515454,9601.20621562365,2.7666724993563947
334,scenario_89,345958.64102311636,347030.8183515454,-1072.1773284290102,-0.308957381226841
348,scenario_89,359274.10040909884,347030.8183515454,12243.282057553472,3.528010023925574
351,scenario_89,356084.81259097776,347030.8183515454,9053.994239432388,2.608988528004625
356,scenario_89,351954.5898454746,347030.8183515454,4923.7714939292055,1.4188283096348464
358,scenario_89,355545.16788122826,347030.8183515454,8514.349529682891,2.4534851314149795
390,scenario_89,350919.2438143042,347030.8183515454,3888.425462758809,1.1204841925075941
392,scenario_89,347180.6427988522,347030.8183515454,149.82444730680436,0.0431732397769442
394,scenario_89,349090.87696458783,347030.8183515454,2060.0586130424635,0.5936241117800684
423,scenario_89,347143.9556222643,347030.8183515454,113.13727071892936,0.032601505323461004
459,scenario_89,352664.4824634014,347030.8183515454,5633.664111856022,1.623390146908817
464,scenario_89,347048.35064890934,347030.8183515454,17.53229736397043,0.005052086568925429
469,scenario_89,352984.52969662054,347030.8183515454,5953.711345075164,1.71561458816721
486,scenario_89,356784.397952152,347030.8183515454,9753.579600606638,2.8105802380715863
493,scenario_89,347073.62448226154,347030.8183515454,42.80613071616972,0.01233496521130487
499,scenario_89,352733.637511167,347030.8183515454,5702.819159621606,1.643317785639602
517,scenario_89,347846.55455237255,347030.8183515454,815.7362008271739,0.235061601935545
521,scenario_89,360290.0153977069,347030.8183515454,13259.197046161513,3.8207549142594663
531,scenario_89,353986.205102348,347030.8183515454,6955.386750802631,2.0042562167365667
533,scenario_89,349483.178375879,347030.8183515454,2452.3600243336405,0.7066692335806838
538,scenario_89,348530.8340166989,347030.8183515454,1500.0156651535071,0.43224278243610564
540,scenario_89,348404.21045426413,347030.8183515454,1373.3921027187607,0.3957550828605378
546,scenario_89,347909.47616134625,347030.8183515454,878.6578098008758,0.25319302014001177
550,scenario_89,349129.38488635153,347030.8183515454,2098.5665348061593,0.6047205100615278
552,scenario_89,349187.4641798385,347030.8183515454,2156.6458282931126,0.6214565722253551
556,scenario_89,348233.1451742552,347030.8183515454,1202.326822709816,0.34646110925279494
557,scenario_89,323758.1064322369,347030.8183515454,-23272.711919308465,-6.706237800394142
558,scenario_89,357672.6033579272,347030.8183515454,10641.785006381804,3.0665244824457
564,scenario_89,356476.24586643354,347030.8183515454,9445.427514888172,2.721783488785099
565,scenario_89,350865.89936034736,347030.8183515454,3835.0810088019934,1.1051125162368205
569,scenario_89,348204.80737490614,347030.8183515454,1173.989023360773,0.338295321705841
57,scenario_89,347315.79708166583,347030.8183515454,284.9787301204633,0.08211914188894234
594,scenario_89,351972.4571375935,347030.8183515454,4941.6387860481045,1.4239769279056302
602,scenario_89,350823.01297783636,347030.8183515454,3792.1946262909914,1.0927544257609605
612,scenario_89,361355.3887985457,347030.8183515454,14324.570447000326,4.127751683566445
614,scenario_89,348557.6765957091,347030.8183515454,1526.858244163741,0.43997770901632705
62,scenario_89,347253.818741023,347030.8183515454,223.0003894776455,0.0642595347977839
625,scenario_89,349371.03564790386,347030.8183515454,2340.217296358489,0.6743543145461588
627,scenario_89,348909.5914412707,347030.8183515454,1878.7730897253496,0.5413850846590044
