development,scenario,origin_access_savings,destination_access_savings,access_savings,network_savings,total_tts,positive_tts,monetized_savings_yearly,monetized_savings
227,scenario_30,295.10575848628287,295.10575848628287,590.2115169725657,-392.0858518898021,198.12566508282907,True,64803.60295417534,3240180.147708767
90,scenario_29,227.6875247804892,227.6875247804819,455.3750495609711,-268.6593143277569,186.71573523327243,True,61071.60506588285,3053580.253294143
565,scenario_30,-269.8550411609067,-269.8550411608994,-539.7100823218061,713.5299174387474,173.81983511708677,True,56853.57106954713,2842678.553477356
104,scenario_29,102.77021318623883,102.7702131862352,205.54042637247403,-85.40554702456575,120.13487934798468,True,39294.11678673665,1964705.8393368328
250,scenario_29,959.2838321323652,959.2838321323616,1918.5676642647268,-1824.2822119815971,94.28545228310396,True,30839.20001759858,1541960.0008799292
308,scenario_30,318.4862670812836,318.4862670812836,636.9725341625672,-555.6977015080629,81.27483265462797,True,26583.64318078457,1329182.1590392282
273,scenario_29,302.04442631383426,302.0444263138306,604.0888526276649,-553.0897062587319,50.99914636893664,True,16680.970791506355,834048.5395753178
464,scenario_29,4.288720802709577,4.288720802705939,8.577441605415515,37.876651600934565,46.45409320644103,True,15194.359652940086,759717.9826470043
493,scenario_29,3.8413925938293687,3.8413925938257303,7.682785187655099,36.08142115920782,43.7642063468229,True,14314.542492606655,715727.1246303328
964,scenario_29,61.74328984030944,61.74328984030217,123.48657968061161,-81.33098824811168,42.15559143247083,True,13788.391364370666,689419.5682185333
273,scenario_30,302.0444265870101,302.0444265870101,604.0888531740202,-573.9217044778634,30.167148696258664,True,9867.171552734604,493358.5776367302
240,scenario_29,219.4869782451642,219.4869782451642,438.9739564903284,-434.86377337097656,4.110183119424619,True,1344.3723953118024,67218.61976559012
270,scenario_29,696.8776682740499,696.8776682740499,1393.7553365480999,-1405.1867340066235,-11.431397458421998,False,-3739.0195853588616,-186950.97926794307
143,scenario_29,4.145696279771073,4.145696279767435,8.291392559538508,-25.56170044420287,-17.270307884551585,False,-5648.829870572081,-282441.49352860404
240,scenario_30,219.48697794759573,219.48697794759573,438.97395589519147,-464.31718467129394,-25.34322877600789,False,-8289.347745485913,-414467.3872742957
270,scenario_30,696.8776680159572,696.8776680159535,1393.7553360319107,-1423.867961050244,-30.112625018227845,False,-9849.33776637869,-492466.88831893454
811,scenario_19,-78.57431548176828,-78.57431548176828,-157.14863096353656,105.15497160726228,-51.99365935637616,False,-17006.259414481367,-850312.9707240683
755,scenario_29,1045.6574417208285,1045.6574417208212,2091.3148834416497,-2151.750298743602,-60.43541530193761,False,-19767.41708834209,-988370.8544171046
464,scenario_19,4.288720781172742,4.288720781172742,8.577441562345484,-77.44754326413386,-68.87010170216672,False,-22526.262431750365,-1126313.121587518
493,scenario_30,3.841392630874907,3.841392630878545,7.682785261753452,-79.1849128062604,-71.50212754437234,False,-23387.154217638454,-1169357.7108819226
